Database: mbFirstStudy
Exercise: 6
Age classes: [2,11], [12,21], [22,31], [32,41], [42,51], [52,61], [62,71], [72,81], 
Gender: -
Dominant hand: -
Session hand: -

userID;gender;dominantHand;age
MB_AP_08_b293eb9a;0d85d5ddcff1329a55bbab252f7c508f;2;720;1280;179.4345;820.5654;540.5654;820.5654;540.5654;459.4345;179.4345;459.4345;24.0754;0.4536271;0.7272727;22
MB_AP_08_b293eb9a;0d85d5ddcff1329a55bbab252f7c508f;3;720;1280;179.4345;820.5654;540.5654;820.5654;540.5654;459.4345;179.4345;459.4345;24.0754;0.441581;0.7545455;22
MB_SZ_13_f740dde9;0ed8a510a3f85c652c4e1053a5e65821;1;480;800;113.0126;526.9874;366.9874;526.9874;366.9874;273.0126;113.0126;273.0126;16.93165;0.4951752;0.65;20
MB_SZ_13_f740dde9;0ed8a510a3f85c652c4e1053a5e65821;2;480;800;113.0126;526.9874;366.9874;526.9874;366.9874;273.0126;113.0126;273.0126;16.93165;0.4904602;0.52;20
MB_SZ_13_f740dde9;0ed8a510a3f85c652c4e1053a5e65821;3;480;800;113.0126;526.9874;366.9874;526.9874;366.9874;273.0126;113.0126;273.0126;16.93165;0.4895721;0.82;20
MB_SZ_24_05a8a625;0f07b2d95df1d6665ae571e6ec0b16e9;1;480;800;113.0126;526.9874;366.9874;526.9874;366.9874;273.0126;113.0126;273.0126;16.93165;0.5937424;0.85;16
MB_SZ_24_05a8a625;0f07b2d95df1d6665ae571e6ec0b16e9;2;480;800;113.0126;526.9874;366.9874;526.9874;366.9874;273.0126;113.0126;273.0126;16.93165;0.5593047;0.7764706;17
MB_SZ_24_05a8a625;0f07b2d95df1d6665ae571e6ec0b16e9;3;480;800;113.0126;526.9874;366.9874;526.9874;366.9874;273.0126;113.0126;273.0126;16.93165;0.6076584;0.775;16
MB_SZ_02_a2c1aa76;10a91d816fa0f7b9bcde1740d124bd6f;1;480;800;113.0126;526.9874;366.9874;526.9874;366.9874;273.0126;113.0126;273.0126;16.93165;0.7381498;0.6307693;13
MB_SZ_02_a2c1aa76;10a91d816fa0f7b9bcde1740d124bd6f;2;480;800;113.0126;526.9874;366.9874;526.9874;366.9874;273.0126;113.0126;273.0126;16.93165;0.7156419;0.8615385;13
